household_key,financial_health_score,predicted_risk_level,top_shap_driver,recommendation_category,personalized_recommendation
122044_10_1,84.2,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 84/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122044_5_1,82.1,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 82/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122045_4_1,76.9,High Risk,credit_defaulted,Increase Income / Employment Support,"This household is assessed as **High Risk** (Financial Health Score: 77/100), driven mainly by a prior credit default on record. Recommended focus: **Increase Income / Employment Support** — explore additional income sources or employment/livelihood-support programs, especially for non-working household members. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122045_8_1,2.8,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 3/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122046_3_1,91.1,Low Risk,financial_surplus,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 91/100), driven mainly by limited financial surplus after expenses. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122046_8_1,90.2,Low Risk,employment_capacity,Debt Reduction Plan,"This household is assessed as **Low Risk** (Financial Health Score: 90/100), driven mainly by few working members supporting the household. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122047_4_1,56.6,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 57/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122047_8_1,54.4,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 54/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122048_3_1,81.4,Medium Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 81/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122048_9_1,95.4,Low Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 95/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122049_3_1,81.3,Medium Risk,expense_to_income_ratio,Build Emergency Savings,"This household is assessed as **Medium Risk** (Financial Health Score: 81/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122049_7_1,80.8,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 81/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122050_1_1,86.2,Low Risk,financial_surplus,Debt Reduction Plan,"This household is assessed as **Low Risk** (Financial Health Score: 86/100), driven mainly by limited financial surplus after expenses. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122050_5_1,77.1,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 77/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122050_9_1,81.8,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 82/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122051_3_1,91.6,Low Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 92/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122051_7_1,92.0,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 92/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122052_1_1,73.4,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 73/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122052_6_1,99.6,Low Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 100/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122053_2_1,53.4,High Risk,expense_to_income_ratio,Build Emergency Savings,"This household is assessed as **High Risk** (Financial Health Score: 53/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122053_8_1,75.0,Medium Risk,expense_to_income_ratio,Increase Income / Employment Support,"This household is assessed as **Medium Risk** (Financial Health Score: 75/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Increase Income / Employment Support** — explore additional income sources or employment/livelihood-support programs, especially for non-working household members. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122054_6_1,84.3,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 84/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122055_10_1,85.8,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 86/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122055_2_1,85.8,Medium Risk,credit_defaulted,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 86/100), driven mainly by a prior credit default on record. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122055_6_1,96.6,Low Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 97/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122056_10_1,69.6,High Risk,expense_to_income_ratio,Build Emergency Savings,"This household is assessed as **High Risk** (Financial Health Score: 70/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122056_2_1,57.5,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 58/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122056_6_1,84.9,Medium Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 85/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122057_10_1,64.4,High Risk,credit_defaulted,Build Emergency Savings,"This household is assessed as **High Risk** (Financial Health Score: 64/100), driven mainly by a prior credit default on record. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122057_5_1,87.4,Low Risk,credit_fraud_txn,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 87/100), driven mainly by credit fraud txn. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122058_5_1,81.3,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 81/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122058_9_1,77.6,Medium Risk,credit_defaulted,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 78/100), driven mainly by a prior credit default on record. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122059_10_1,44.9,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 45/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122059_1_1,81.7,Medium Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 82/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122059_5_1,94.2,Low Risk,financial_surplus,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 94/100), driven mainly by limited financial surplus after expenses. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122060_5_1,86.8,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 87/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122060_9_1,76.7,Medium Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 77/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122061_5_1,36.8,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 37/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122061_9_1,68.4,High Risk,credit_defaulted,Build Emergency Savings,"This household is assessed as **High Risk** (Financial Health Score: 68/100), driven mainly by a prior credit default on record. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122062_4_1,77.0,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 77/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122062_8_1,68.5,High Risk,employment_capacity,Build Emergency Savings,"This household is assessed as **High Risk** (Financial Health Score: 68/100), driven mainly by few working members supporting the household. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122063_3_1,89.2,Low Risk,employment_capacity,Debt Reduction Plan,"This household is assessed as **Low Risk** (Financial Health Score: 89/100), driven mainly by few working members supporting the household. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122063_7_1,85.9,Medium Risk,cc_total_txns,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 86/100), driven mainly by cc total txns. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122064_1_1,90.8,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 91/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122064_5_1,74.1,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 74/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122064_9_1,6.6,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 7/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122065_3_1,93.1,Low Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 93/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122065_7_1,81.7,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 82/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122066_4_1,72.7,Medium Risk,expense_to_income_ratio,Increase Income / Employment Support,"This household is assessed as **Medium Risk** (Financial Health Score: 73/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Increase Income / Employment Support** — explore additional income sources or employment/livelihood-support programs, especially for non-working household members. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122066_8_1,4.6,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 5/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122067_2_1,73.0,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 73/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122067_7_1,24.9,High Risk,expense_to_income_ratio,Build Emergency Savings,"This household is assessed as **High Risk** (Financial Health Score: 25/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122068_4_1,60.5,High Risk,expense_to_income_ratio,Build Emergency Savings,"This household is assessed as **High Risk** (Financial Health Score: 60/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
122068_8_1,82.5,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 82/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123001_10_1,81.3,Medium Risk,credit_defaulted,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 81/100), driven mainly by a prior credit default on record. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123001_3_1,68.0,High Risk,credit_defaulted,Maintain & Grow Wealth,"This household is assessed as **High Risk** (Financial Health Score: 68/100), driven mainly by a prior credit default on record. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123002_5_1,94.2,Low Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 94/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123002_9_1,77.6,Medium Risk,employment_capacity,Build Emergency Savings,"This household is assessed as **Medium Risk** (Financial Health Score: 78/100), driven mainly by few working members supporting the household. Recommended focus: **Build Emergency Savings** — set aside a fixed % of income each month into an emergency fund, even a small amount, before discretionary spending. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123003_2_1,83.2,Medium Risk,credit_defaulted,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 83/100), driven mainly by a prior credit default on record. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123003_8_1,1.8,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 2/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123004_3_1,86.7,Low Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 87/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123004_9_1,94.1,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 94/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123005_3_1,93.5,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 94/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123005_7_1,86.3,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 86/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123006_10_1,82.0,Medium Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 82/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123006_5_1,75.4,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 75/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123007_10_1,85.9,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 86/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123007_3_1,81.1,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 81/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123008_4_1,75.3,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 75/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123008_8_1,3.4,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 3/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123009_5_1,88.6,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 89/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123010_2_1,19.7,High Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **High Risk** (Financial Health Score: 20/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123010_7_1,90.5,Low Risk,per_capita_income,Increase Income / Employment Support,"This household is assessed as **Low Risk** (Financial Health Score: 90/100), driven mainly by low income relative to household size. Recommended focus: **Increase Income / Employment Support** — explore additional income sources or employment/livelihood-support programs, especially for non-working household members. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123011_1_1,87.9,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 88/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123011_5_1,81.9,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 82/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123012_5_1,100.0,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 100/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123012_9_1,93.3,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 93/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123013_2_1,94.6,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 95/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123013_8_1,84.0,Medium Risk,expense_to_income_ratio,Maintain & Grow Wealth,"This household is assessed as **Medium Risk** (Financial Health Score: 84/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123014_3_1,87.1,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 87/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123014_7_1,86.7,Low Risk,employment_capacity,Maintain & Grow Wealth,"This household is assessed as **Low Risk** (Financial Health Score: 87/100), driven mainly by few working members supporting the household. Recommended focus: **Maintain & Grow Wealth** — continue current habits, and consider low-risk savings or investment products to grow the existing surplus. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
123015_4_1,77.3,Medium Risk,expense_to_income_ratio,Debt Reduction Plan,"This household is assessed as **Medium Risk** (Financial Health Score: 77/100), driven mainly by expenditure consuming a large share of income. Recommended focus: **Debt Reduction Plan** — prioritize paying down existing debt (starting with the highest-interest source) before taking on new credit. Nationally, household expenditure is trending downward over the next quarter, which may ease some pressure."
